Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109305182.952,12416161048.8412,15856678596.148,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,54744712814.8676,56760355865.0082,67863828412.6882,85332581188.6107,103198223709.439,117027307540.89,134977082623.78,171000699876.747,137211035770.034,161207270185.25,200013052199.2,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,8936063723.20121,15285594828.418,17812705294.325,23552052407.5488,36970918699.2523,52381006892.038,65266452081.386,88538611205.1433,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,58375976292.9678
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37801462765.9574,38652579787.234,34729228723.4043
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302571320445.75,323056957972.312
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4418000000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,868358750,925197950,983575600,1051386600,1102564900,1210603750,1271598050,1351338650,1317309450,1377177100,1460797903.23406,1522897506.07849,1579411253.00514,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,3666222600.09828,4194342849.46574,5349258334.31914,6190270756.13743,6567654493.50831,7034111651.4964,8169048690.05254,9787735426.00897,9738626993.27696,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821,15651545331.5404
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657068.96575,2315437338.08809
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.10651,11451869164.7112,13120183156.7149,16674324634.2373,17339992165.2422,19649631314.0482,23963033430.5954,27084497482.8616,30659338880.3786,32996188012.6821,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36572764862.8234
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,5800774717.40538,6728771313.86805,8498560902.29181,10157553968.1525,11222953335.3385,12864610862.5901,15778767410.8109,19112739397.886,17613836526.6393,17176781045.5967,18644723853.5807,17221192466.1918,18172335776.3301,18560861388.6402,16219819017.3607,16914287348.9819,18079075770.6713,20177409351.4329,20201323260.0733,19946496562.9733
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,10137883299.3156,10939053365.4786,10945070441.9283,10267133177.7334,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16593720655.6402,15061922801.6271
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,559983704094.17,509795270685.19,558233724164.711,669289321944.516,891633826603.377,1107626711406.63,1397114247331.17,1695855391810.9,1666996294372.87,2208838108577.09,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825769.5087
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135246.50004,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2732808556.84172,2748180473.71333,2668495742.88443,2631434363.22693,2841786382.19063
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1768319144.00218,1966503222.76759,1981845740.70615,1703698676.69742
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,3984000517.02345,4284028482.53766,4658246918.27092,5337833248.03924,6293046161.83262,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25808561550.9514
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,10953485244.4239,12417251815.8801,15970315751.0277,18826215278.057,19509850837.2745,20910513974.6215,23928251333.7444,27715144580.2691,27932971683.4215,27507499709.071,30630912184.7789,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,4200439457.5783,4466438857.5543,4586114124.56498,4281868714.74859,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,5591623664.9466
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,2059094048.26019,2142591375.85053,2437982839.63072,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349794.23301,2220978978.17342,2220307368.69593,2380087758.04137
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1710843360.64955,1997005786.54118,2742815194.54993,4422855929.21428,6649307057.03314,7428701809.40597,8650138068.63161,10393834720.852,9290728773.35723,10668102734.8132,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10829076801.729
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,70979923960.3422,69736811435.1319,75643459839.5605,99210392857.6283,122964812046.139,154788024805.865,173605968179.267,179638496278.497,172389498444.68,218537551220.123,252251992029.518,267122320056.772,278384332694.3,260541637327.855,243919079437.422,250440149690.846,277034675515.684,297571693064.193,279385487344.492,252940023046.007
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.062,161618581266.316,206181826825.281,242186950900.775,232397835678.336,286563105192.457,334943871931.746,370921320483.842,382116126448.555,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,378512003.405071,425964697.418664,546885184.990174,633706149.25026,653845122.872074,698431827.740958,795673128.485442,915659192.825112,905341090.570115,907978723.547592,1023086183.79822,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1192559739.37288,1235400352.2931
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47146004586.6824,50400747050.496,48716960860.0664
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2796704577.3082,3034251042.07329,3503723244.83607,4656975222.72243,6647357442.08986,8065134528.26894,8771102025.00987,11602893043.0256,9684321633.21977,13135580695.2473,15634897272.7645,17693924573.2499,17953617927.2376,17889079957.8792,11885478502.1168,10215989995.0073,11090177747.1315,13670036995.9959,12750339022.9512,10187122341.4051
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,15976174337.0471,16578820687.2209,17271760507.042,18610594846.3082,20040642476.8988,22715540324.3149,26884700345.1044,30801744881.0236,30745712006.5238,37658614803.2919,42762617081.6142,47231651862.8224,50949672205.8222,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,61846895120.7808
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,16810536883.7566,18054384023.1198,21251755294.0258,23510577108.1881,24036917016.5323,25281414472.8976,28760092034.5396,34078243426.0168,33886814907.0536,34936305296.8834,36693712824.7812,36302305578.306,42760237561.3995,48843008580.3616,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,23273640257.1968,27074550257.8118,34985749883.4171,41958833541.0995,45780237257.1867,50860788253.2176,60542673502.5324,70750646248.0563,63084004705.0807,60426018629.2992,63169910822.1285,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,3038699608.93855,3131096089.38547,3147616201.11732,3158406033.51955,3151910782.1229,3122287932.96089,3116610111.73184,3127908044.69274,3101787709.49721,2595821708.81313
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24612646487.7213
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,67808032979.5429,82196001050.7474,100090467581.268,119814434353.575,137143471328.274,156264095664.643,190183800884.018,236816485762.988,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.17,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2430274292.2896,2603540256.91955,2751445573.68009,3012803457.10411,3324615549.09099,3384385216.71609
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,340203703.703704,333196296.296296,343311111.111111,367200000,364255555.555556,390251851.851852,421374074.074074,458188888.888889,489074074.074074,493825925.925926,501025925.925926,485996296.296296,498296296.296296,520207407.407407,540737037.037037,576229629.62963,519837037.037037,550622222.222222,611537037.037037,504214814.814815
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,25601765400.5153,27137508656.8522,21403167848.1444,22322395368.0274,35777570135.5225,37879869897.8979,43965420072.4107,48122547177.1881,48261033298.2133,53860175555.9961,58029750745.6495,60681537195.7996,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,98808010000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.174,249712999437.254,303080865603.645,365252651278.852
