Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Afghanistan,AFG,..,0.00434099089229203,0.00742179054796238,0.016454884640078,0.0109036309490409,0.0111524113991172,0.0764152044481749,0.224465173426611,0.126422320655726,0.212188085387117,0.495356516225989,0.270285101037537,0.237255122486996,0.226599986405594,0.162117663035533,0.247302339719322,0.397626964335567,0.535542773023099,0.373839670727645,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Albania,ALB,0.00127713646027997,0.000274594917235555,0.000890331430195623,0.00682202066302214,0.00307783255631526,0.00293141302764867,0.00403006491283054,0.0139850941802249,0.000729610825634702,0.00139476728328413,0.000801741060480121,0.000360916327692827,0.000108032600719083,0,0.00592411499204703,0.000387679986896928,0.0155765293228522,0.0335834077224718,0.0243771283513862,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,American Samoa,ASM,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Argentina,ARG,2.83391898626282E-05,0,1.82082829906704E-08,0.000555633250120936,0.000123145308810451,0.000663039729829792,0.000868097726885652,0.00300687173912129,0.000361862457158003,0.000573381120638496,0.000910413672952206,0.000571810044832391,0.000378984643087802,0.000211509398765555,8.62683462392086E-05,7.00203274155281E-05,6.91602190315363E-05,0.000118583173820324,0.000100896618516774,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42832856913374E-06,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Australia,AUS,0.618038501379323,0.381820364612392,0.215618765348141,0.925879140233323,0.999473956479438,1.06351370738848,0.849000164754862,2.96523946254237,1.5050733293501,2.02225847096457,2.36283614353075,1.19654765763819,0.81149112373905,0.753799867445319,0.468459287882386,0.595087742207764,0.7809703488499,0.793072399689025,0.6583771809917,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Austria,AUT,0.0014543107046363,0.000525492882401037,0.000378304475009929,0.000657099358411721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bangladesh,BGD,0,0,0,0,0.00688937054971035,0.0124048922804803,0.019814516627855,0.063671855002207,0.0334016072543672,0.037650674401064,0.039843448338416,0.0343229448795057,0.0260914658635757,0.0213433282080485,0.0104600133126017,0.0156710812995808,0.0210688353127376,0.0187592665472347,0.0124403224179263,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bhutan,BTN,0.224848160693062,0.145260370172898,0.107001388368906,0.11177317104621,0.223519069421043,0.252965808342574,0.281039300315779,0.669176805068577,0.125883533522112,0.27023982737533,0.30164848484304,0.219420177821293,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bosnia and Herzegovina,BIH,0.435513010982184,0.136154718058595,0.127553207478329,0.980780078728789,0.615078878299162,0.617064744900389,0.813474462967298,2.38820993255505,0.78655640602934,1.44205231941938,1.91500072748722,0.872457462926535,0.410772750780037,0.261918586054455,0.191504771698968,0.229643395796659,0.294254792991746,0.310322451254101,0.227436282894055,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Botswana,BWA,0.253388687296932,0.171528322463582,0.123347493017762,0.348542009231332,0.270780555462165,0.281419336051078,0.317716522009356,0.755471782289309,0.22535586350912,0.424236468040577,0.358519935557483,0.481411799568599,0.380390280994362,0.289933952749933,0.273924705902774,0.255633898006056,0.362810293623116,0.445826833520677,0.332180265909366,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Brazil,BRA,0.00301549855921906,0.000385201026217023,0.000646021321960142,0.0120163990729477,0.00757086808930041,0.006606766851127,0.00842843215810366,0.0224143577850136,0.00711108510106031,0.00905381048917351,0.0104346767875379,0.00905803310647652,0.00923536199024554,0.00667749312322659,0.00644122544865228,0.00624388259432251,0.0053033913759956,0.00717557775582934,0.00538453669775302,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Brunei Darussalam,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Bulgaria,BGR,0.321113158181387,0.0915225225145749,0.0807229392229551,0.622500569010333,0.32732610205903,0.308633992700318,0.434676543097878,1.1119684241019,0.327792636824502,0.691788659060128,0.95074507382043,0.392856104927595,0.168350986126177,0.141928411881756,0.113049581827869,0.104201811201305,0.141543765013551,0.13249066576555,0.093615953410762,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cambodia,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394515644161817,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Canada,CAN,0.112389946444639,0.0861385491196009,0.0705375390520461,0.141936411531928,0.152678776529702,0.15369879204089,0.110160399957025,0.374914611217348,0.198467997576081,0.247000531425654,0.311002065960063,0.163607128920959,0.10490063934048,0.0793663242379611,0.0669591112387298,0.0801068951831326,0.0904991481902027,0.08508009922887,0.0615797462301939,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cayman Islands,CYM,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Chile,CHL,0.000374206825843099,0,2.23884465037125E-07,0.00386207467855522,0.00363552257344063,0.0031525671068393,0.00230207836461658,0.0167280788658071,0.00340713752790953,0.00734739485735404,0.00884173679445804,0.0061555862616632,0.0186551088876658,0.0212383898640968,0.0132308866348131,0.0116441269235328,0.0136123383263992,0.0138855987218211,0.0107411022667101,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,China,CHN,0.755540632119722,0.212393816164384,0.175690394040434,2.44233482679223,1.81257095203579,1.80046718383632,2.05603988515471,4.95211059420005,1.71352622493598,2.74480237370415,3.53404591400918,1.78253509286448,1.0812080820268,0.794104008433704,0.406939843113976,0.413619945433841,0.539149611464778,0.577117158510234,0.427944417703457,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Colombia,COL,0.0337936787420825,0.0179230767540216,0.0122352300118056,0.899113352377429,0.461125415984464,0.510430070064871,0.844270583018434,2.28232640243865,0.554695024141208,1.11690645270136,1.58772063248529,0.893676827737011,0.621598848901552,0.49608062822923,0.474826007310699,0.587770039419052,0.714389606086683,0.712420562370593,0.543751024452566,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,"Congo, Dem. Rep.",COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,"Congo, Rep.",COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Czech Republic,CZE,0.445349152204806,0.220482489577403,0.167427142048235,0.653673362377842,0.540903303318179,0.527963797878614,0.455412306435373,1.32863863875209,0.528595922228926,0.777441584681186,0.892237156701752,0.446050664748684,0.183969336182414,0.147812277773763,0.120276245257882,0.121554899341658,0.137818192548265,0.130069147230346,0.0993246639176229,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,"Egypt, Arab Rep.",EGY,0.00044504274136748,0.000251078670487644,0.000283157151715653,0.00128134490402061,0.000620431817386347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Eswatini,SWZ,0.31129440625728,0.29535978125244,0.233571605485792,0.613222457413337,0.393627182865489,0.405447118796782,0.5646396336682,1.25243588247758,0.262145023169994,0.180680572266061,0.206043362481705,0.146827862971218,0.108813291203005,0.0893822366812585,0.0662874934718364,0.0884581230924057,0.131120171443405,0.139330263243842,0.106582406917413,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Ethiopia,ETH,0,0,0,0,0,0,0,0,0.00190217830434822,0.00721957589311908,0.00501909089574245,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Faroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Fiji,FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,France,FRA,0.000935286347760151,0.000249087390946749,0.000248186861092889,0.000155987209209272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,"Gambia, The",GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
