Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Afghanistan,AFG,..,23.8101270064854,22.7108641828326,26.2267897500666,26.8120992326398,28.2107680719994,26.8822416082148,26.9156280026285,21.8971222069406,21.1514206977128,22.7402524820273,21.1578071539751,20.4446053132561,21.2296632181805,22.1240424906926,10.4668076938201,10.0518739969063,13.3872469597976,14.0581123697768,14.0316990961127
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Albania,ALB,21.7357737789933,23.10636959577,24.055608509483,24.6655622675068,25.0816065897088,25.3080259185205,25.3403319220157,25.1610103305709,24.4137783931968,24.9374619346668,24.4844782196853,22.9185533432722,23.0613168520051,21.5088457362369,21.7636809971645,21.1419653523072,20.3583670021185,21.2793061291073,20.6082652718018,20.0626466995345
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Algeria,DZA,41.6161100968912,40.121182292368,42.3481542731299,44.0391360255464,49.8701398997935,50.9526401741971,48.8523114683532,49.9577496825341,36.915547463013,40.0094850012892,40.4856293971182,38.6554620293483,34.4776124871823,31.8977086818092,24.2547128570476,22.8661059736615,25.1133015500597,27.7521432784251,25.1376002155596,20.2822974575441
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Angola,AGO,64.8838115415289,56.0757965388459,53.1169963887799,54.6299213113549,60.4019934569532,58.109331166465,61.8835378515421,60.2548201250717,44.0563761691749,52.3684348885467,56.026514743024,56.9182197485493,53.3628539821467,46.2033255675024,41.9330926455315,42.643566778715,42.1679535486771,47.9315416320185,49.986772065329,45.9484598219562
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Antigua and Barbuda,ATG,12.8825244066071,13.0460290245267,13.2713740177401,13.0533530385339,14.5184648805214,18.4522457441397,17.7409753276249,19.1239163168153,19.4609361101647,16.2041470390038,14.5307687799923,14.2854938176341,15.6822606280428,16.1886387614543,16.4579794794781,17.9383723748189,19.2206966499644,21.1069983049088,21.16303875479,21.1032607520488
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Argentina,ARG,25.2434339827333,30.5577370913046,32.6450990996503,28.816922006834,28.6263140439084,29.2032796652469,27.4152361334783,26.2724599395946,25.2842047993735,25.2587762576722,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304,24.052388220108,23.3112183791703
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,27.8270946139077,26.7090481417071,25.2705329463993,25.7086994351611,25.5771330395605,25.8095323791656,24.7565578476257,24.9716084573435,27.0552261162168
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Aruba,ABW,15.9113471050335,15.2834244604317,16.7927031509121,17.5977187264979,18.5044103547459,19.5727649769585,18.9801110873745,18.0314000814001,16.175408003577,..,..,..,..,..,..,..,..,..,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Australia,AUS,23.670519617489,23.6371047898367,24.0586410138191,23.952999496175,24.640461870085,25.6440072273035,25.6978365939341,25.6273455192151,27.065264647734,25.2005974557473,26.5319508173366,26.3911817810861,25.1982812371864,25.5798212508437,23.6953758824352,22.3275125713017,23.4671582218979,24.1399368185503,25.3279677406758,25.4620958711998
