"country","project","finance","stage","xcoord","ycoord","iso","region"
"Albania","Trans Adriatic Pipeline
",1442,"Financed",2176967.911,4971590.817,"ALB","Europe & Central Asia"
"Argentina","Cauchari Solar PV Plant",390,"Complete",-7437429.555,-2728741.714,"ARG","Latin America & Caribbean"
"Azerbaijan","Shah Denize II Gas Field",28000,"Ongoing",5579872.833,4861264.34,"AZE","Europe & Central Asia"
"Bahrain","Bahrain Waste-to-Energy",480,"Tendering",5631142.085,3027395.176,"BHR","Middle East & North Africa"
"Bangladesh","Payra Oil-Fired Power Plant",109,"Agreed",10052560.28,2511761.251,"BGD","South Asia"
"Bangladesh","Shahjibazar Natural Gas Power Plant",280,"Financed",10172348.47,2784442.947,"BGD","South Asia"
"Bangladesh","Ghorashal Petroleum Plant Re-Power",330,"Complete",10087694.23,2747850.156,"BGD","South Asia"
"Bosnia and Herzegovina","Uglejevik 3 Coal Power Station",782,"Ongoing",2114467.268,5573599.808,"BIH","Europe & Central Asia"
"Bulgaria","Various Solar Projects",247,"Ongoing",2835181.795,5249069.75,"BGR","Europe & Central Asia"
"Cambodia","Rural Power Grid Extension Project",53,"Complete",11681251.94,1294516.983,"KHM","East Asia & Pacific"
"Cambodia","Lower Stung Russey Chrum/ Orussei Hydropower Project",518,"Complete",11497456.7,1286141.819,"KHM","East Asia & Pacific"
"Cambodia","Preah Sihanouk Oil Refinery",620,"Ongoing",11595966.73,1186412.54,"KHM","East Asia & Pacific"
"Cambodia","Lower Se San 2 Hydroelectric Project",782,"Complete",11829205.88,1523067.298,"KHM","East Asia & Pacific"
"Chile","Punnta Sierra Wind Farm",150,"Complete",-7972349.767,-3654125.062,"CHL","Latin America & Caribbean"
"Egypt","Egyptian Power Grid Upgrade",1000,"Ongoing",3470746.118,3515328.983,"EGY","Middle East & North Africa"
"Ethiopia","Aysha Wind Project",257,"Completed",4738925.754,1203579.92,"ETH","Sub-Saharan Africa"
"Ethiopia","Adama Wind Project 2",340,"Complete",4371602.094,953996.4038,"ETH","Sub-Saharan Africa"
"Ethiopia","Genale Dawa III Hydro Project",450,"Complete",4203829.081,764384.2322,"ETH","Sub-Saharan Africa"
"Ethiopia","Ethiopia-Kenya Electricity Transmission Line",1200,"Ongoing",4275589.304,752928.706,"ETH","Sub-Saharan Africa"
"Ethiopia","Addia Ababa Waste-to-Energy Plant",118,"Complete",4315050.806,1007983.839,"ETH","Sub-Saharan Africa"
"Georgia","Inter Rao Khrami Hydro Power Plant 1 and 2",104,"Complete",4895628.904,5102420.473,"GEO","Europe & Central Asia"
"Georgia","Shuakhevi Hydropower Project",417,"Complete",4696577.278,5106053.709,"GEO","Europe & Central Asia"
"Ghana","Tema Waste-to-Energy Plant",300,"Approved",3341.953961,639424.5828,"GHA","Sub-Saharan Africa"
"Greece","Trans Adriatic Pipeline
",1442,"Financed",2928450.326,5004894.89,"GRC","Europe & Central Asia"
"India","Chabahar-Gujarat Subsea Gas Pipeline
",2250,"Planning",7781672.806,2432478.196,"IND","South Asia"
"Indonesia","Tuas Waste-to-energy",40,"Ongoing",11536025.33,143931.7928,"IDN","East Asia & Pacific"
"Indonesia","Sumsel-5 Coal Power Station",318,"Complete",11563178.82,-218479.6076,"IDN","East Asia & Pacific"
"Indonesia","Bengkulu Coal Power Station",360,"Ongoing",11387364.7,-423030.1522,"IDN","East Asia & Pacific"
"Indonesia","Jatigede Hydroelectric Dam",400,"Ongoing",12033438.41,-764354.0891,"IDN","East Asia & Pacific"
"Indonesia","Bangko Tengah Coal Power Plant",1200,"Ongoing",11598848.53,-386621.8699,"IDN","East Asia & Pacific"
"Indonesia","Cilacap Sumber Coal Power Station",2089,"Under Construction",12135697.47,-861083.8111,"IDN","East Asia & Pacific"
"Indonesia","Bontang Oil Refinery",14500,"Planning",13074597.05,-6476.445528,"IDN","East Asia & Pacific"
"Indonesia","Kayan River Hydropower Plant",17800,"Financed",13041604.46,404688.0496,"IDN","East Asia & Pacific"
"Iran","Rudbar Lorestan Hydroelectric Plant",578,"Complete",5384414.227,3812128.247,"IRN","Middle East & North Africa"
"Iran","West Ethylene Pipeline
",1560,"Ongoing",5151053.677,4592256.416,"IRN","Middle East & North Africa"
"Iran","West Ethylene Pipeline
",1560,"Ongoing",5709572.204,3759559.329,"IRN","Middle East & North Africa"
"Iran","West Ethylene Pipeline",1560,"Ongoing",5849940.339,3193095.074,"IRN","Middle East & North Africa"
"Iran","Neka-Jask Oil Pipeline",2000,"Under Construction",5933126.162,4390253.301,"IRN","Middle East & North Africa"
"Iran","Chabahar-Gujarat Subsea Gas Pipeline
",2250,"Planning",6750050.202,2912853.291,"IRN","Middle East & North Africa"
"Iran","Bandar Abbas Gas Condensate Refinery Expansion",2500,"Under Construction",6265085.229,3146463.934,"IRN","Middle East & North Africa"
"Iran","South Pars Gas Field Phase 11",4879,"Ongoing",5859214.292,3182997.466,"IRN","Middle East & North Africa"
"Iraq","Iraq-Jordan Oil Pipeline",3500,"Planning",5299261.359,3554620.279,"IRQ","Middle East & North Africa"
"Italy","Trans Adriatic Pipeline
",1442,"Financed",2049030.537,4908815.019,"ITA","Europe & Central Asia"
"Jordan","Amman Waste-to-Energy",123,"Under Construction",3998128.758,3753945.268,"JOR","Middle East & North Africa"
"Jordan","Attarat Oil Shale-Fueled Power Plant",2100,"Ongoing",4053909.631,3673460.417,"JOR","Middle East & North Africa"
"Jordan","Iraq-Jordan Oil Pipeline",3500,"Planning",3896545.349,3443825.67,"JOR","Middle East & North Africa"
"Kazakhstan","Gulshat Solar Power Plant",69,"Complete",8291602.28,5876957.239,"KAZ","Europe & Central Asia"
"Kazakhstan","Ekibastuz Kazakhstan GRES-2 Coal Power Plant",400,"Ongoing",8381163.519,6758676.097,"KAZ","Europe & Central Asia"
"Kazakhstan","Central Asia-China Gas Pipeline",1217,"Construction",8949621.859,5500137.755,"KAZ","Europe & Central Asia"
"Kenya","Thika Thermal Power Project",112,"Complete",4124582.155,-118086.2375,"KEN","Sub-Saharan Africa"
