"country","year","fossil_share_energy","fossil_energy_per_capita","energy_per_capita","region","iso","inv_dummy","bri_dummy"
"Algeria",2005,99.592,11000.958,11046.017,"Middle East & North Africa","DZA",1,0
"Algeria",2006,99.847,11254.16,11271.449,"Middle East & North Africa","DZA",1,0
"Algeria",2007,99.85,11677.965,11695.535,"Middle East & North Africa","DZA",1,0
"Algeria",2008,99.824,12172.469,12193.979,"Middle East & North Africa","DZA",1,0
"Algeria",2009,99.8,12676.306,12701.699,"Middle East & North Africa","DZA",1,0
"Algeria",2010,99.891,12144.613,12157.811,"Middle East & North Africa","DZA",1,0
"Algeria",2011,99.779,12640.023,12668.024,"Middle East & North Africa","DZA",1,0
"Algeria",2012,99.789,13549.443,13578.086,"Middle East & North Africa","DZA",1,0
"Algeria",2013,99.939,14069.992,14078.557,"Middle East & North Africa","DZA",1,0
"Algeria",2014,99.89,15027.377,15043.984,"Middle East & North Africa","DZA",1,0
"Algeria",2015,99.909,15528.614,15542.75,"Middle East & North Africa","DZA",1,0
"Algeria",2016,99.863,15190.104,15210.944,"Middle East & North Africa","DZA",1,0
"Algeria",2017,99.768,15029.705,15064.678,"Middle East & North Africa","DZA",1,0
"Algeria",2018,99.73,15872.332,15915.297,"Middle East & North Africa","DZA",1,0
"Algeria",2019,99.727,16331.441,16376.102,"Middle East & North Africa","DZA",1,1
"Argentina",2005,83.634,16741.805,20017.886,"Latin America & Caribbean","ARG",0,0
"Argentina",2006,82.687,17215.31,20819.765,"Latin America & Caribbean","ARG",0,0
"Argentina",2007,85.497,18401.417,21522.762,"Latin America & Caribbean","ARG",0,0
"Argentina",2008,85.921,18621.733,21673.035,"Latin America & Caribbean","ARG",0,0
"Argentina",2009,84.377,17755.558,21043.171,"Latin America & Caribbean","ARG",0,0
"Argentina",2010,84.852,18599.382,21919.694,"Latin America & Caribbean","ARG",1,0
"Argentina",2011,85.348,18871.5,22111.154,"Latin America & Caribbean","ARG",1,0
"Argentina",2012,86.203,19399.898,22504.785,"Latin America & Caribbean","ARG",1,0
"Argentina",2013,85.737,19893.03,23202.432,"Latin America & Caribbean","ARG",1,0
"Argentina",2014,85.668,19572.09,22846.498,"Latin America & Caribbean","ARG",1,0
"Argentina",2015,85.299,19724.453,23123.79,"Latin America & Caribbean","ARG",1,0
"Argentina",2016,85.934,19620.823,22832.315,"Latin America & Caribbean","ARG",1,0
"Argentina",2017,85.326,19241.662,22550.74,"Latin America & Caribbean","ARG",1,0
"Argentina",2018,84.901,18824.28,22172.06,"Latin America & Caribbean","ARG",1,0
"Argentina",2019,84.271,18101.027,21479.671,"Latin America & Caribbean","ARG",1,0
"Australia",2005,96.029,66883.04,69648.968,"East Asia & Pacific","AUS",0,0
"Australia",2006,96.146,69810.908,72609.558,"East Asia & Pacific","AUS",0,0
"Australia",2007,96.19,69414.543,72163.779,"East Asia & Pacific","AUS",1,0
"Australia",2008,96.148,69152.966,71923.196,"East Asia & Pacific","AUS",1,0
"Australia",2009,95.689,66926.746,69941.698,"East Asia & Pacific","AUS",1,0
"Australia",2010,94.963,65456.527,68928.146,"East Asia & Pacific","AUS",1,0
"Australia",2011,93.707,65785.054,70203.291,"East Asia & Pacific","AUS",1,0
"Australia",2012,93.859,64049.86,68240.28,"East Asia & Pacific","AUS",1,0
"Australia",2013,93.14,63069.761,67715.146,"East Asia & Pacific","AUS",1,0
"Australia",2014,93.756,63471.012,67697.824,"East Asia & Pacific","AUS",1,0
"Australia",2015,93.496,63343.515,67749.728,"East Asia & Pacific","AUS",1,0
"Australia",2016,92.793,62495.921,67349.654,"East Asia & Pacific","AUS",1,0
"Australia",2017,93.115,61766.639,66333.931,"East Asia & Pacific","AUS",1,0
"Australia",2018,91.647,61306.165,66894.015,"East Asia & Pacific","AUS",1,0
"Australia",2019,91.433,64591.979,70644.033,"East Asia & Pacific","AUS",1,0
"Austria",2005,73.453,37183.145,50621.48,"Europe & Central Asia","AUT",0,0
"Austria",2006,72.863,36331.115,49861.92,"Europe & Central Asia","AUT",0,0
"Austria",2007,70.595,34262.437,48534.016,"Europe & Central Asia","AUT",0,0
"Austria",2008,70.169,34617.396,49334.423,"Europe & Central Asia","AUT",0,0
"Austria",2009,67.33,31975.679,47491.043,"Europe & Central Asia","AUT",0,0
"Austria",2010,70.016,34226.142,48883.574,"Europe & Central Asia","AUT",0,0
"Austria",2011,70.927,32298.709,45537.713,"Europe & Central Asia","AUT",0,0
"Austria",2012,65.858,31279.494,47495.221,"Europe & Central Asia","AUT",0,0
"Austria",2013,66.523,31191.741,46888.618,"Europe & Central Asia","AUT",0,0
"Austria",2014,65.229,29111.543,44630.048,"Europe & Central Asia","AUT",0,0
"Austria",2015,66.893,29680.396,44369.911,"Europe & Central Asia","AUT",0,0
"Austria",2016,66.232,30123.026,45481.414,"Europe & Central Asia","AUT",0,0
"Austria",2017,67.29,31076.874,46183.623,"Europe & Central Asia","AUT",0,0
"Austria",2018,67.434,30281.529,44905.628,"Europe & Central Asia","AUT",0,0
"Austria",2019,66.298,30844.347,46523.958,"Europe & Central Asia","AUT",0,0
"Azerbaijan",2005,95.128,18511.33,19459.323,"Europe & Central Asia","AZE",0,0
"Azerbaijan",2006,95.883,18165.256,18945.153,"Europe & Central Asia","AZE",0,0
"Azerbaijan",2007,95.754,16233.425,16953.207,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2008,96.055,16259.868,16927.736,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2009,95.406,14105.178,14784.414,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2010,93.094,13413.397,14408.422,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2011,95.21,15071.103,15829.275,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2012,96.855,15592.853,16099.108,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2013,97.399,15915.822,16340.765,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2014,97.735,16080.396,16453.03,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2015,97.429,17313.041,17769.834,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2016,96.875,16850.443,17394.072,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2017,97.155,16394.375,16874.53,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2018,97.135,16688.343,17180.551,"Europe & Central Asia","AZE",1,0
"Azerbaijan",2019,97.52,17678.026,18127.566,"Europe & Central Asia","AZE",1,0
"Bangladesh",2005,98.933,1349.324,1363.88,"South Asia","BGD",0,0
"Bangladesh",2006,99.016,1443.651,1457.99,"South Asia","BGD",0,0
"Bangladesh",2007,99.041,1459.938,1474.081,"South Asia","BGD",0,0
"Bangladesh",2008,98.851,1524.095,1541.805,"South Asia","BGD",0,0
"Bangladesh",2009,99.519,1668.076,1676.133,"South Asia","BGD",0,0
"Bangladesh",2010,99.187,1683.037,1696.825,"South Asia","BGD",1,0
"Bangladesh",2011,99.106,1806.621,1822.913,"South Asia","BGD",1,0
"Bangladesh",2012,99.225,1914.219,1929.179,"South Asia","BGD",1,0
"Bangladesh",2013,99.26,1950.469,1965.017,"South Asia","BGD",1,0
"Bangladesh",2014,99.395,2012.905,2025.167,"South Asia","BGD",1,0
"Bangladesh",2015,99.238,2337.381,2355.331,"South Asia","BGD",1,0
"Bangladesh",2016,99.252,2343.821,2361.492,"South Asia","BGD",1,1
"Bangladesh",2017,99.149,2401.766,2422.379,"South Asia","BGD",1,1
"Bangladesh",2018,99.29,2532.904,2551.016,"South Asia","BGD",1,1
"Bangladesh",2019,99.363,2976.296,2995.38,"South Asia","BGD",1,1
"Belarus",2005,99.965,29946.854,29957.262,"Europe & Central Asia","BLR",0,0
"Belarus",2006,99.967,31960.549,31971.222,"Europe & Central Asia","BLR",0,0
"Belarus",2007,99.955,31324.92,31338.928,"Europe & Central Asia","BLR",0,0
"Belarus",2008,99.909,31773.268,31802.352,"Europe & Central Asia","BLR",1,0
"Belarus",2009,99.819,30158.907,30213.447,"Europe & Central Asia","BLR",1,0
"Belarus",2010,99.759,32043.506,32120.941,"Europe & Central Asia","BLR",1,0
"Belarus",2011,99.773,31887.737,31960.388,"Europe & Central Asia","BLR",1,0
"Belarus",2012,99.759,34443.769,34527.105,"Europe & Central Asia","BLR",1,0
"Belarus",2013,99.703,30335.703,30426.109,"Europe & Central Asia","BLR",1,0
"Belarus",2014,99.722,31299.252,31386.394,"Europe & Central Asia","BLR",1,0
"Belarus",2015,99.679,28407.2,28498.766,"Europe & Central Asia","BLR",1,0
"Belarus",2016,99.609,28214.674,28325.44,"Europe & Central Asia","BLR",1,0
"Belarus",2017,99.287,28686.645,28892.766,"Europe & Central Asia","BLR",1,0
"Belarus",2018,99.37,30612.706,30806.835,"Europe & Central Asia","BLR",1,0
"Belarus",2019,99.365,30883.951,31081.284,"Europe & Central Asia","BLR",1,0
"Belgium",2005,82.519,59836.219,72511.815,"Europe & Central Asia","BEL",0,0
"Belgium",2006,82.702,59687.017,72171.31,"Europe & Central Asia","BEL",0,0
"Belgium",2007,82.185,59232.996,72073.038,"Europe & Central Asia","BEL",0,0
"Belgium",2008,83.176,60519.668,72761.131,"Europe & Central Asia","BEL",0,0
"Belgium",2009,80.936,54608.643,67471.579,"Europe & Central Asia","BEL",0,0
"Belgium",2010,81.271,57960.807,71317.805,"Europe & Central Asia","BEL",0,0
"Belgium",2011,79.257,52325.257,66019.642,"Europe & Central Asia","BEL",0,0
"Belgium",2012,80.71,50880.625,63041.369,"Europe & Central Asia","BEL",1,0
"Belgium",2013,80.037,51434.049,64263.002,"Europe & Central Asia","BEL",1,0
"Belgium",2014,81.761,48667.753,59524.366,"Europe & Central Asia","BEL",1,0
"Belgium",2015,84.388,50650.192,60020.436,"Europe & Central Asia","BEL",1,0
"Belgium",2016,79.361,51012.182,64278.427,"Europe & Central Asia","BEL",1,0
"Belgium",2017,79.578,51438.699,64639.19,"Europe & Central Asia","BEL",1,0
"Belgium",2018,83.427,52245.359,62624.214,"Europe & Central Asia","BEL",1,0
"Belgium",2019,78.684,51382.511,65302.717,"Europe & Central Asia","BEL",1,0
"Brazil",2005,57.163,7556.786,13219.786,"Latin America & Caribbean","BRA",1,0
"Brazil",2006,56.907,7627.152,13402.931,"Latin America & Caribbean","BRA",1,0
"Brazil",2007,55.785,7852.38,14076.064,"Latin America & Caribbean","BRA",1,0
"Brazil",2008,56.665,8245.678,14551.581,"Latin America & Caribbean","BRA",1,0
