"country","year_investment","sector","subsector","quantity_in_millions","investor","region","share_size","iso","bri"
"Afghanistan",2011,"Energy","Oil",400,"China National Petroleum Corp. (CNPC)","South Asia",NA,"AFG",0
"Algeria",2013,"Energy","Hydro",100,"China Three Gorges","Middle East & North Africa",NA,"DZA",0
"Algeria",2019,"Energy","Gas",440,"China Communications Construction","Middle East & North Africa",NA,"DZA",1
"Algeria",2016,"Energy","Oil",410,"China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,"DZA",0
"Algeria",2005,"Energy",NA,390,"China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,"DZA",0
"Algeria",2013,"Energy","Alternative",510,"Power Construction Corp. (PowerChina), Yingli Green Energy","Middle East & North Africa",NA,"DZA",0
"Algeria",2009,"Transport","Rail",2570,"China Railway Construction","Middle East & North Africa",NA,"DZA",0
"Algeria",2019,"Energy","Oil",120,"China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,"DZA",1
"Algeria",2016,"Transport","Shipping",1720,"China State Construction Engineering, China Communications Construction","Middle East & North Africa","0.49","DZA",0
"Angola",2009,"Transport","Shipping",1130,"China Communications Construction","Sub-Saharan Africa",NA,"AGO",0
"Angola",2007,"Transport","Rail",1830,"China Railway Construction","Sub-Saharan Africa",NA,"AGO",0
"Angola",2016,"Transport","Shipping",830,"China Communications Construction","Sub-Saharan Africa",NA,"AGO",0
"Angola",2012,"Energy",NA,800,"Tebian Electric Apparatus (TBEA), Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,"AGO",0
"Angola",2017,"Energy","Hydro",2770,"China Energy Engineering","Sub-Saharan Africa","0.61","AGO",0
"Angola",2016,"Transport","Shipping",440,"China Communications Construction","Sub-Saharan Africa",NA,"AGO",0
"Angola",2014,"Energy","Gas",990,"China National Machinery Industry (Sinomach)","Sub-Saharan Africa",NA,"AGO",0
"Angola",2014,"Energy","Hydro",780,"Tebian Electric Apparatus (TBEA)","Sub-Saharan Africa",NA,"AGO",0
