"iso","country","year_investment","sector","subsector","investor","region","share_size","bri","gdp","investment","investments_share_percent_gdp"
"AFG","Afghanistan",2011,"Energy","Oil","China National Petroleum Corp. (CNPC)","South Asia",NA,0,17805113118.8938,4e+08,2.2465456822936
"AGO","Angola",2006,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Sub-Saharan Africa","0.75",0,52381006892.038,7.4e+08,1.41272580255131
"AGO","Angola",2007,"Transport","Rail","China Railway Construction","Sub-Saharan Africa",NA,0,65266452081.386,1.83e+09,2.80389073044453
"AGO","Angola",2009,"Transport","Shipping","China Communications Construction","Sub-Saharan Africa",NA,0,70307163678.238,1.13e+09,1.6072330910282
"AGO","Angola",2012,"Energy",NA,"Tebian Electric Apparatus (TBEA), Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,0,128052853643.106,8e+08,0.624742032090645
"AGO","Angola",2013,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Sub-Saharan Africa","0.1",0,136709862831.194,1.52e+09,1.11184370207207
"AGO","Angola",2014,"Energy","Gas","China National Machinery Industry (Sinomach)","Sub-Saharan Africa",NA,0,145712200312.505,1.77e+09,1.21472326696318
"AGO","Angola",2016,"Transport","Shipping","China Communications Construction","Sub-Saharan Africa",NA,0,101123851090.455,1.67e+09,1.65144027051164
"AGO","Angola",2017,"Energy","Hydro","China Energy Engineering","Sub-Saharan Africa","0.61",0,122123822333.59,2.97e+09,2.43195794501685
"ARE","United Arab Emirates",2008,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,315474615738.598,3.29e+09,1.04287313015577
"ARE","United Arab Emirates",2012,"Energy","Coal","Shanghai Electric","Middle East & North Africa",NA,0,374590605854.323,2e+08,0.0533916219131719
"ARE","United Arab Emirates",2015,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,358135057862.492,3.3e+08,0.0921440090142489
"ARE","United Arab Emirates",2016,"Energy","Coal","Harbin Electric","Middle East & North Africa",NA,0,357045064669.843,3.04e+09,0.851433138506218
"ARE","United Arab Emirates",2017,"Energy","Oil","China National Petroleum Corp. (CNPC), China National Off-shore Oil (CNOOC)","Middle East & North Africa","0.08",0,385605506848.196,4.18e+09,1.08400941526117
"ARE","United Arab Emirates",2018,"Energy","Alternative","Shanghai Electric","Middle East & North Africa",NA,1,422215043594.282,5.76e+09,1.36423372103599
"ARE","United Arab Emirates",2019,"Transport","Rail","China Railway Construction","Middle East & North Africa",NA,1,417215559513.364,1.68e+09,0.402669546159672
"ARE","United Arab Emirates",2020,"Transport","Rail","CRRC","Middle East & North Africa",NA,1,358868765174.924,2.64e+09,0.735644964451888
"ARG","Argentina",2010,"Energy",NA,"China National Off-shore Oil (CNOOC)","Latin America & Caribbean","0.5",0,423627422092.49,5.57e+09,1.31483461870509
"ARG","Argentina",2011,"Energy","Oil","China National Off-shore Oil (CNOOC)","Latin America & Caribbean",NA,0,530163281574.658,3.3e+08,0.0622449746085497
"ARG","Argentina",2013,"Transport","Rail","China National Machinery Industry (Sinomach)","Latin America & Caribbean",NA,0,552025140252.246,2.59e+09,0.469181530177504
"ARG","Argentina",2015,"Energy","Alternative","Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,0,594749285413.212,3e+08,0.0504414225216883
"ARG","Argentina",2016,"Energy","Gas","China National Petroleum Corp. (CNPC)","Latin America & Caribbean",NA,0,557531376217.967,7.9e+08,0.141696061190133
"ARG","Argentina",2017,"Energy","Hydro","China Energy Engineering","Latin America & Caribbean","0.65",0,643628665302.155,4.05e+09,0.62924481433696
"ARG","Argentina",2018,"Energy","Alternative","Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,0,524819742918.669,2.1e+08,0.0400137385899645
"ARG","Argentina",2019,"Energy","Hydro","China Communications Construction","Latin America & Caribbean",NA,0,451932356085.842,8.7e+08,0.192506685632119
"ARG","Argentina",2020,"Transport","Rail","China Railway Construction","Latin America & Caribbean",NA,0,389288056265.325,1.75e+09,0.449538579937131
"ATG","Antigua & Barbuda",2014,"Transport","Shipping","China Railway Construction","Latin America & Caribbean",NA,0,1249733333.33333,2.6e+08,20.8044382801665
"AUS","Australia",2007,"Energy","Coal","China International Trust and Investment (CITIC)","East Asia & Pacific","0.08",0,853955405511.502,1e+08,0.0117102133617975
"AUS","Australia",2008,"Energy","Coal","Shenhua","East Asia & Pacific",NA,0,1055127126230.98,7.5e+08,0.0710814821602659
"AUS","Australia",2009,"Energy","Coal","MCC","East Asia & Pacific",NA,0,928042998085.702,5.33e+09,0.574326837333435
"AUS","Australia",2010,"Energy","Coal","Taiyuan Heavy","East Asia & Pacific","1",0,1147589183475.73,3.11e+09,0.271002902848968
"AUS","Australia",2011,"Energy","Gas","China National Petroleum Corp. (CNPC)","East Asia & Pacific","0.5",0,1397907916789.9,8.75e+09,0.625935363474667
"AUS","Australia",2012,"Energy","Coal","Shandong Energy","East Asia & Pacific","1",0,1546508558465.66,4.28e+09,0.276752428984054
"AUS","Australia",2013,"Energy",NA,"State Grid","East Asia & Pacific","0.19900000000000001",0,1576335282651.07,4.62e+09,0.293084856429155
"AUS","Australia",2014,"Energy","Gas","Shandong Landbridge","East Asia & Pacific","1",0,1467504819608.92,5.18e+09,0.352980101379186
"AUS","Australia",2015,"Transport","Shipping","Shandong Landbridge","East Asia & Pacific","0.8",0,1350534154255.76,2.57e+09,0.190295076351938
"AUS","Australia",2016,"Energy","Alternative","State Power Investment Corporation","East Asia & Pacific","1",0,1206685107002.47,4.43e+09,0.367121461456053
