"country","year","connectivity_index","iso"
"Albania","2006",NA,"ALB"
"Albania","2007",2.0212454011,"ALB"
"Albania","2008",1.8573255404,"ALB"
"Albania","2009",3.5788622227,"ALB"
"Albania","2010",4.4203079672,"ALB"
"Albania","2011",3.8923117814,"ALB"
"Albania","2012",3.3990677183,"ALB"
"Albania","2013",4.178995914,"ALB"
"Albania","2014",5.6849417243,"ALB"
"Albania","2015",4.581753469,"ALB"
"Albania","2016",4.5830836233,"ALB"
"Albania","2017",5.6703239147,"ALB"
"Albania","2018",3.9945501232,"ALB"
"Albania","2019",4.0262463203,"ALB"
"Albania","2020",7.3259229574,"ALB"
"Algeria","2006",10.5689985789,"DZA"
"Algeria","2007",8.8372649387,"DZA"
"Algeria","2008",9.2555079569,"DZA"
"Algeria","2009",10.2258580833,"DZA"
"Algeria","2010",12.7832402607,"DZA"
"Algeria","2011",10.6221141123,"DZA"
"Algeria","2012",9.6788096472,"DZA"
"Algeria","2013",11.4401490987,"DZA"
"Algeria","2014",10.5126075207,"DZA"
"Algeria","2015",13.0189756649,"DZA"
"Algeria","2016",13.5402670771,"DZA"
"Algeria","2017",13.0130316217,"DZA"
"Algeria","2018",12.2553261807,"DZA"
"Algeria","2019",11.5171872649,"DZA"
"Algeria","2020",12.2372692425,"DZA"
"American Samoa","2006",7.0985759001,"ASM"
"American Samoa","2007",9.2057848335,"ASM"
"American Samoa","2008",8.4642480704,"ASM"
"American Samoa","2009",7.8242054533,"ASM"
"American Samoa","2010",7.5280651507,"ASM"
"American Samoa","2011",5.5269211752,"ASM"
"American Samoa","2012",5.5102957227,"ASM"
"American Samoa","2013",5.4990272739,"ASM"
"American Samoa","2014",5.7629360151,"ASM"
"American Samoa","2015",6.1322121615,"ASM"
"American Samoa","2016",6.4448529554,"ASM"
"American Samoa","2017",6.8896081627,"ASM"
"American Samoa","2018",7.1431759024,"ASM"
"American Samoa","2019",7.0191152074,"ASM"
"American Samoa","2020",7.5529047141,"ASM"
"Angola","2006",13.0209318182,"AGO"
"Angola","2007",12.7505060446,"AGO"
"Angola","2008",13.7745024343,"AGO"
"Angola","2009",14.5976618318,"AGO"
"Angola","2010",23.605311491,"AGO"
"Angola","2011",15.2651198165,"AGO"
"Angola","2012",15.8354974348,"AGO"
"Angola","2013",19.2661296876,"AGO"
"Angola","2014",20.0675776328,"AGO"
"Angola","2015",22.1354231951,"AGO"
"Angola","2016",28.5859830693,"AGO"
"Angola","2017",29.0754418173,"AGO"
"Angola","2018",24.9052868949,"AGO"
"Angola","2019",23.3781758718,"AGO"
"Angola","2020",29.7849929558,"AGO"
"Anguilla","2006",2.0712566918,"AIA"
"Anguilla","2007",NA,"AIA"
"Anguilla","2008",NA,"AIA"
"Anguilla","2009",NA,"AIA"
"Anguilla","2010",4.487175193,"AIA"
"Anguilla","2011",NA,"AIA"
"Anguilla","2012",3.4612717762,"AIA"
"Anguilla","2013",3.4612717762,"AIA"
"Anguilla","2014",3.4612717762,"AIA"
"Anguilla","2015",3.4612717762,"AIA"
"Anguilla","2016",4.4839384531,"AIA"
"Anguilla","2017",5.2174514751,"AIA"
"Anguilla","2018",5.2164770112,"AIA"
"Anguilla","2019",4.487175193,"AIA"
"Anguilla","2020",4.487175193,"AIA"
"Antigua & Barbuda","2006",5.9940235798,"ATG"
"Antigua & Barbuda","2007",6.2403804285,"ATG"
"Antigua & Barbuda","2008",6.3677562973,"ATG"
